City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
79,Constitucion,-35.3333,-72.4167,55.47,82,23,15.32,few clouds,CL
80,Ringebu,61.5167,10.1667,10.47,98,80,5.41,broken clouds,NO
81,Longyearbyen,78.2186,15.6401,24.64,74,75,1.14,broken clouds,SJ
82,Dicabisagan,17.0818,122.4157,79.99,70,87,5.28,overcast clouds,PH
83,Hilo,19.7297,-155.09,76.73,73,75,8.05,broken clouds,US
84,Olafsvik,64.8945,-23.7142,34.21,92,100,13.87,snow,IS
85,Oarai,36.3167,140.6,50.45,30,2,18.75,clear sky,JP
86,Pisco,-13.7,-76.2167,69.85,88,0,16.11,clear sky,PE
87,Saldanha,-33.0117,17.9442,66.16,84,0,8.16,clear sky,ZA
88,Pyapon,16.2833,95.6833,76.1,56,13,3.4,few clouds,MM
89,Luanda,-8.8368,13.2343,79.74,81,100,7.96,overcast clouds,AO
90,Pedernales,18.0384,-71.744,77.74,74,25,3.02,scattered clouds,DO
91,Stephenville Crossing,48.5,-58.4318,21.33,79,75,21.85,broken clouds,CA
92,Conde,-7.2597,-34.9075,74.66,100,75,4.61,broken clouds,BR
93,Qaqortoq,60.7167,-46.0333,27.1,92,100,8.97,snow,GL
94,Nantucket,41.2835,-70.0995,37.99,77,77,10.94,broken clouds,US
95,Medea,36.2642,2.7539,39.65,85,100,5.17,overcast clouds,DZ
96,Ribeira Grande,38.5167,-28.7,62.15,88,74,10.42,broken clouds,PT
97,La Palma,33.8464,-118.0467,58.05,58,40,23.02,scattered clouds,US
98,Kruisfontein,-34.0033,24.7314,63.79,94,9,4.83,clear sky,ZA
99,Tasiilaq,65.6145,-37.6368,23.16,86,100,5.88,light snow,GL
100,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,50,0,4.47,clear sky,RU
101,Neiafu,-18.65,-173.9833,86.68,74,75,5.75,broken clouds,TO
102,Katsuura,35.1333,140.3,50.14,35,100,7.99,overcast clouds,JP
103,Lujan,-34.5703,-59.105,74.98,94,75,1.99,broken clouds,AR
104,Zyryanovsk,49.7386,84.2719,15.15,95,100,0.49,snow,KZ
105,Dalbandin,28.8947,64.4101,62.69,54,83,5.66,broken clouds,PK
106,Itigi,-5.7,34.4833,64.31,97,100,3.89,light rain,TZ
107,Atambua,-9.1061,124.8925,81.19,74,41,1.52,scattered clouds,ID
108,Faya,18.3851,42.4509,59.11,71,25,0.83,scattered clouds,SA
109,Saint-Philippe,-21.3585,55.7679,78.35,84,89,10.38,overcast clouds,RE
110,Gat,31.61,34.7642,61.39,58,65,2.59,broken clouds,IL
111,Linxia,35.6003,103.2064,39.16,56,7,2.39,clear sky,CN
112,Thompson,55.7435,-97.8558,8.76,61,0,2.3,clear sky,CA
113,Lebu,-37.6167,-73.65,56.98,83,100,6.76,overcast clouds,CL
114,Port Hedland,-20.3167,118.5667,86.05,48,5,10.36,clear sky,AU
115,Henties Bay,-22.116,14.2845,59.86,91,20,2.19,few clouds,NA
116,Touros,-5.1989,-35.4608,76.1,84,74,10.16,light rain,BR
117,Englehart,47.8169,-79.8664,25.36,93,100,18.41,snow,CA
118,Christchurch,-43.5333,172.6333,82.33,41,100,3.44,overcast clouds,NZ
119,Ponta Do Sol,32.6667,-17.1,65.07,65,28,10.47,scattered clouds,PT
120,Qaanaaq,77.484,-69.3632,-0.29,66,0,7.58,clear sky,GL
121,Marfino,55.7028,37.3822,24.94,77,0,6.71,clear sky,RU
122,Fairbanks,64.8378,-147.7164,33.24,69,100,1.01,overcast clouds,US
123,Caxito,-8.5785,13.6643,76.66,95,98,2.24,overcast clouds,AO
124,Tuktoyaktuk,69.4541,-133.0374,19.4,86,20,20.71,few clouds,CA
125,Geraldton,-28.7667,114.6,88.21,25,0,21.85,clear sky,AU
