City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Naron,ES,48.6,scattered clouds,43.5167,-8.1528,Marcial
420,Watsa,CD,69.62,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
422,Los Llanos De Aridane,ES,56.95,clear sky,28.6585,-17.9182,Valle Aridane
423,Khash,IR,52.23,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
427,Murgab,TM,50.52,overcast clouds,37.4966,61.9714,
432,Swellendam,ZA,68.38,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
435,Praia,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
439,Coquimbo,CL,66.13,clear sky,-29.9533,-71.3436,Hotel San Juan
446,Te Anau,NZ,67.86,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
447,Sabha,LY,53.98,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
448,Visakhapatnam,IN,67.89,mist,17.69,83.2093,Best Western Ramachandra Hotel
457,Weiser,US,52.0,clear sky,44.251,-116.9693,The Colonial Motel
475,Huilong,CN,48.97,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
478,Rosetta,EG,56.86,overcast clouds,31.4044,30.4164,Green Valley
488,Tsushima,JP,48.22,few clouds,35.1667,136.7167,Business Inn Maruto
489,Loreto,MX,68.95,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
498,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
500,Havelock,US,66.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
509,Kuito,AO,60.87,light rain,-12.3833,16.9333,Herdeiros de Antunes Capusso
512,Codrington,AU,64.0,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
517,Banyo,CM,69.03,scattered clouds,6.75,11.8167,Motel JOMBA
522,Hluti,SZ,65.73,broken clouds,-27.2167,31.6167,
524,Portland,US,55.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
527,Adrar,MR,61.61,clear sky,20.5022,-10.0711,
533,Acurenam,GQ,68.2,light rain,1.0322,10.6488,
534,Puerto Penasco,MX,60.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
537,Guerrero Negro,MX,59.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
540,Seddon,AU,69.53,overcast clouds,-37.8068,144.8916,Footscray Motor Inn
544,Adeje,ES,60.31,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
545,Ridgecrest,US,51.66,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
546,Laguna,US,57.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
547,Presidente Olegario,BR,66.18,overcast clouds,-18.4178,-46.4181,Cruzeiro Hotel
548,Bam,IR,60.57,scattered clouds,29.106,58.357,Bam Tourist Hotel
549,Gazanjyk,TM,48.47,clear sky,39.2446,55.5154,Railway motel
