City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Saskylakh,RU,2022-03-03 17:28:07,71.9167,114.0833,-31.41,100,99,0.96
59,Qaanaaq,GL,2022-03-03 17:28:07,77.484,-69.3632,6.06,55,0,8.57
60,Tukrah,LY,2022-03-03 17:28:07,32.5341,20.5791,52.43,64,19,4.92
61,Ternate,ID,2022-03-03 17:28:08,0.8,127.4,80.74,80,100,4.38
62,Bairiki,KI,2022-03-03 17:28:08,1.3292,172.9752,80.78,82,98,16.51
63,Hobart,AU,2022-03-03 17:24:15,-42.8794,147.3294,64.26,83,84,8.05
64,Kapaa,US,2022-03-03 17:28:09,22.0752,-159.319,73.38,88,20,8.05
65,Hami,CN,2022-03-03 17:28:09,42.8,93.45,37.74,45,0,9.64
66,Albany,US,2022-03-03 17:24:00,42.6001,-73.9662,34.09,49,41,7.0
67,Tuktoyaktuk,CA,2022-03-03 17:28:10,69.4541,-133.0374,-5.8,77,40,10.36
68,Irece,BR,2022-03-03 17:28:10,-11.3042,-41.8558,85.24,46,94,13.09
69,Bethel,US,2022-03-03 17:25:53,41.3712,-73.414,43.16,47,0,16.11
70,Omboue,GA,2022-03-03 17:28:11,-1.5746,9.2618,78.31,87,98,8.34
71,Butaritari,KI,2022-03-03 17:28:11,3.0707,172.7902,80.53,82,100,11.74
72,Caruray,PH,2022-03-03 17:28:12,10.3094,119.0128,78.51,89,29,7.29
73,Jackson,US,2022-03-03 17:27:12,42.4165,-122.8345,46.4,91,100,3.44
74,Thompson,CA,2022-03-03 17:26:57,55.7435,-97.8558,1.56,55,0,13.8
75,San Cristobal,VE,2022-03-03 17:27:13,7.7669,-72.225,78.98,45,73,6.55
76,East London,ZA,2022-03-03 17:27:49,-33.0153,27.9116,72.54,94,75,3.44
77,Helena,US,2022-03-03 17:28:13,46.5927,-112.0361,51.24,93,100,0.0
78,Le Port,RE,2022-03-03 17:28:13,-20.9373,55.2919,80.6,87,71,2.13
79,Petropavlovsk-Kamchatskiy,RU,2022-03-03 17:28:13,53.0452,158.6483,12.79,73,20,4.47
80,La Ronge,CA,2022-03-03 17:28:14,55.1001,-105.2842,-0.15,42,0,3.44
81,Ushuaia,AR,2022-03-03 17:25:38,-54.8,-68.3,51.46,76,75,1.14
82,Bathsheba,BB,2022-03-03 17:28:15,13.2167,-59.5167,84.81,65,75,21.85
83,Mastic,US,2022-03-03 17:28:15,40.802,-72.8409,45.14,46,75,16.11
84,Teknaf,BD,2022-03-03 17:28:15,20.8624,92.3058,72.88,45,86,11.56
85,Moctezuma,MX,2022-03-03 17:28:16,29.8,-109.6667,75.27,14,99,5.53
